Crop,Recommended_Treatment,Soil_Condition,Climate_Condition,Yield_per_Hectare,Expected_Yield_kg_ha,Application_Method,Application_Interval,Confidence_Score,Recommendation,Model_Efficiency
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Gram,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Spinach,DAP (Phosphorus-rich),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,Increase phosphorus,SVR (R²=-0.4303)
Spinach,SSP (Low nitrogen),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,"Reduce nitrogen, apply phosphorus",SVR (R²=-0.4303)
Spinach,SSP (Low nitrogen),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,"Reduce nitrogen, apply phosphorus",SVR (R²=-0.4303)
Spinach,DAP (Phosphorus-rich),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,Increase phosphorus,SVR (R²=-0.4303)
Spinach,DAP (Phosphorus-rich),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,Increase phosphorus,SVR (R²=-0.4303)
Spinach,DAP (Phosphorus-rich),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,Increase phosphorus,SVR (R²=-0.4303)
Spinach,SSP (Low nitrogen),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.65,"Reduce nitrogen, apply phosphorus",SVR (R²=-0.4303)
Spinach,SSP (Low nitrogen),N/A,,N/A,N/A,Soil application at sowing,Every 25-30 days,0.85,"Reduce nitrogen, apply phosphorus",SVR (R²=-0.4303)
Barley,Balanced NPK (15-15-15),N/A,,1000.0,1150.0,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Chickpea,Balanced NPK (15-15-15),OC 69.0%,Rain 250.0mm,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Barley,Balanced NPK (15-15-15),pH 7.5,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Barley,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Barley,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell Pepper,Balanced NPK (15-15-15),pH 7.0,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,0.5,0.57,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Chickpea,Balanced NPK (15-15-15),N/A,Rain 2860.0mm,N/A,N/A,Broadcast + incorporation,Split application (3-4 splits),0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Cabbage,Dolomite + Bio NPK,pH 3.3,,1000.0,1150.0,Broadcast + incorporation,Every 25-30 days,0.75,"Apply lime to correct pH, then balanced NPK",SVR (R²=-0.4303)
Maize,Balanced NPK (15-15-15),N/A,,346.0,397.9,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
