Paper_ID,DOI,Journal,Year,Authors,Country,Crop,Scientific_Name,Variety,Season,Growth_Duration_Days,Growth_Stage,Design,Replications,Plot_Size,Spacing_Row,Spacing_Plant,Sample_Size,Location,State,Site,Latitude,Longitude,Altitude,Temperature_Max,Temperature_Min,Average_Temperature,Rainfall,Humidity,Soil_pH,EC,Organic_Carbon,Organic_Matter,Nitrogen,Phosphorus,Potassium,Sulphur,Iron,Copper,Manganese,Zinc,Calcium,Magnesium,Boron,Molybdenum,Treatment,Fertilizer_Name,Organic_Fertilizer,Biofertilizer,Dose,Application_Method,Application_Interval,Shoot_Length_cm,Root_Length_cm,Plant_Height_cm,Shoot_Biomass_g,Root_Biomass_g,Leaf_Area_cm2,Leaf_Number,Tillers,Root_Diameter_mm,SPAD,Moisture_Content,Dry_Matter,Stem_Diameter_mm,Branches,Nodes,Flowers,Plant_Height_30_cm,Plant_Height_60_cm,Plant_Height_90_cm,Leaf_Area_30_cm2,Leaf_Area_60_cm2,Leaf_Area_90_cm2,Yield_per_Plot,Yield_per_Acre,Yield_per_Hectare,Fruit_Number,Fruit_Weight,Fruit_Diameter_mm,Spike_Length,Seeds_per_Spike,100_Seed_Weight,Root_Weight,Pod_Weight,Harvest_Index,Biomass_Yield,Protein,Ash,Gluten,Fiber,Carbohydrates,Fat,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Iron_Content,Copper_Content,Zinc_Content,Manganese_Content,Sulphur_Content,Target_Yield,Target_Fertilizer,Target_Nitrogen,Target_Phosphorus,Target_Potassium,Growing_Degree_Days,Heat_Units,Harvest_Index_Calc,Nitrogen_Use_Efficiency,Water_Use_Efficiency,Rainfall_Anomaly,Stress_Index,Disease_Risk_Index,Yield_per_Plant,Yield_per_Plot_Calc,Yield_per_Hectare_Calc,Temp_x_Rainfall,N_x_P,Temp_ squared,Rainfall_7d_MA,Temp_7d_MA,Feature_Available_Before_Prediction,Crop_Code,Season_Code,Variety_Code,Fertilizer_Code,Soil_Texture_Code,Country_Code,Predicted_Yield,Expected_Biomass,Expected_Plant_Height,Recommended_Fertilizer,Recommended_Dose,Recommended_Application_Interval,Expected_Yield_Increase,Confidence_Score,Recommendation_Summary,Source_File
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.96,,,,36.514,2.0856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.173,,,,63.152,2.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.423,,,,63.456,2.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.49,,,,55.54,2.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.027,,,,50.042,2.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839.715,,,,62.755,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Bell pepper,10.13057/asianjagric/g080103,,2019,,,Bell Pepper,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bell pepper.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,7.83,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,0.19,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,0.23,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,0.39,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,145.93,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290.333,,,,,,7.433,40.889,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759.0,,,,,,8.533,51.444,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102.333,,,,,,8.467,46.667,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779.333,,,,,,8.556,49.778,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922.333,,,,,,8.989,51.667,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2975.0,,,,,,9.356,55.444,4.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.0,,,,,,9.433,56.667,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048.667,,,,,,8.656,51.667,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2983.667,,,,,,8.833,53.333,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132.333,,,,,,9.067,57.0,4.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,3.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,4.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,5.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,4.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,4.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,3.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T8,,,,,,,,,,,,,,4.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Black wheat,10.2478/cag-2025-0012,,2022,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,T9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black wheat.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,118.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,342.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
