Column,Data_Type,Unique_Values,Missing_Count,Missing_Pct,Sample_Values
Fungal_PLFAs,object,0,66,100.0,[]
Bacterial_PLFAs,object,0,66,100.0,[]
Actinomycetes_PLFAs,object,0,66,100.0,[]
NDVI,object,0,66,100.0,[]
EVI,object,0,66,100.0,[]
SAVI,object,0,66,100.0,[]
NDWI,object,0,66,100.0,[]
NDRE,object,0,66,100.0,[]
Canopy_Temperature,object,0,66,100.0,[]
CIG,object,0,66,100.0,[]
CIRE,object,0,66,100.0,[]
Calcium_Mehlich3,object,0,66,100.0,[]
Calcium_Saturation,object,0,66,100.0,[]
Magnesium_Saturation,object,0,66,100.0,[]
Sodium_Saturation,object,0,66,100.0,[]
Potassium_Saturation,object,0,66,100.0,[]
Hydrogen_Saturation,object,0,66,100.0,[]
Water_Extractable_Nitrate,object,0,66,100.0,[]
Water_Extractable_Organic_Carbon,object,0,66,100.0,[]
Water_Extractable_Organic_Nitrogen,object,0,66,100.0,[]
Water_Extractable_NH4,object,0,66,100.0,[]
Water_Extractable_CN_Ratio,object,0,66,100.0,[]
Aggregate_Stability,object,0,66,100.0,[]
Soil_Respiration,object,0,66,100.0,[]
Infiltration_Rate,object,0,66,100.0,[]
Nematode_Maturity_Index,object,0,66,100.0,[]
Nematode_Plant_Parasitic_Index,object,0,66,100.0,[]
Nematode_Channel_Index,object,0,66,100.0,[]
Nematode_Basal_Index,object,0,66,100.0,[]
Nematode_Enrichment_Index,object,0,66,100.0,[]
Nematode_Structure_Index,object,0,66,100.0,[]
Nematode_Total_Biomass_mg,object,0,66,100.0,[]
Total_Cost,object,0,66,100.0,[]
Total_Return,object,0,66,100.0,[]
Net_Profit,object,0,66,100.0,[]
Benefit_Cost_Ratio,object,0,66,100.0,[]
System_Benefit_USD_ha,object,0,66,100.0,[]
Off_Season_Contribution_Pct,object,0,66,100.0,[]
System_Water_Use_Efficiency,object,0,66,100.0,[]
Phosphorus_Uptake,object,0,66,100.0,[]
Nitrogen_Uptake,object,0,66,100.0,[]
Potassium_Uptake,object,0,66,100.0,[]
Sulphur_Uptake,object,0,66,100.0,[]
Calcium_Uptake,object,0,66,100.0,[]
Magnesium_Uptake,object,0,66,100.0,[]
Boron_Uptake,object,0,66,100.0,[]
Chlorine_Uptake,object,0,66,100.0,[]
Copper_Uptake,object,0,66,100.0,[]
Iron_Uptake,object,0,66,100.0,[]
Manganese_Uptake,object,0,66,100.0,[]
Molybdenum_Uptake,object,0,66,100.0,[]
Zinc_Uptake,object,0,66,100.0,[]
Irrigation_Method,object,0,66,100.0,[]
Irrigation_mm,object,0,66,100.0,[]
Sowing_Density,object,0,66,100.0,[]
Harvest_Density,object,0,66,100.0,[]
Cultivation_Method,object,0,66,100.0,[]
N_Fixation,object,0,66,100.0,[]
Soil_pH_CaCl2,object,0,66,100.0,[]
Soil_pH_KCl,object,0,66,100.0,[]
_source_file,str,5,0,0.0,"['BellPepper_Master_Dataset.xlsx', 'BlackWheat_Master_Dataset.xlsx', 'Carrot_Master_Dataset.xlsx', 'Gram_Master_Dataset.xlsx', 'Spinach_Master dataset.xlsx']"
dataset_id,str,1,0,0.0,['addbe466e94a42d6']
provider,str,1,0,0.0,['pipeline_input']
document_type,str,1,0,0.0,['tabular']
normalized_at,str,1,0,0.0,['2026-07-29T13:43:29.000042']
_extraction_method,str,1,0,0.0,['dataframe_passthrough']
Source_File,object,0,66,100.0,[]
Table_Type,object,0,66,100.0,[]
Is_Control,object,0,66,100.0,[]
Dose_Value,object,0,66,100.0,[]
Dose_Unit,object,0,66,100.0,[]
Dose_Per,object,0,66,100.0,[]
Crop_Yield_Min,float64,2,50,75.76,"[8.0, 5.0]"
Crop_Yield_Max,float64,2,50,75.76,"[35.0, 20.0]"
Crop_Opt_Temp_Min,float64,2,50,75.76,"[15.0, 10.0]"
Crop_Opt_Temp_Max,float64,1,50,75.76,[22.0]
Crop_Opt_Rain_Min,float64,1,50,75.76,[400.0]
Crop_Opt_Rain_Max,float64,1,50,75.76,[600.0]
Crop_Yield_Unit,str,2,0,0.0,"['', 't/ha']"
Yield_Lower_Bound,float64,2,50,75.76,"[8.0, 5.0]"
Yield_Upper_Bound,float64,2,50,75.76,"[35.0, 20.0]"
Optimal_pH_Min,float64,1,0,0.0,[5.5]
Optimal_pH_Max,float64,1,0,0.0,[7.0]
N_Status,str,1,0,0.0,['high']
P_Status,str,2,0,0.0,"['medium', 'low']"
K_Status,str,1,0,0.0,['medium']
Fertilizer_NPK,str,3,0,0.0,"['0-0-0', '0-0-15', '3-2-2']"
Fertilizer_Type,str,2,0,0.0,"['unknown', 'organic']"
Dataset_ID,str,45,0,0.0,"['Paper002', 'PAPER/50624db1', 'PAPER/25d2522c', 'PAPER/524e7c84', 'PAPER/65af36a2']"
Document_ID,str,45,0,0.0,"['Paper002/doc/0', 'PAPER/50624db1/doc/0', 'PAPER/25d2522c/doc/0', 'PAPER/524e7c84/doc/0', 'PAPER/65af36a2/doc/0']"
Experiment_ID,str,45,0,0.0,"['Paper002/exp/Haridwar_Uttarakhand_Sep2022-May2023_RCBD_Bell pepper', 'PAPER/50624db1/exp/Black Wheat', 'PAPER/25d2522c/exp/Black Wheat', 'PAPER/524e7c84/exp/Black Wheat', 'PAPER/65af36a2/exp/Black Wheat']"
Treatment_ID,str,66,0,0.0,"['Paper002/exp/Haridwar_Uttarakhand_Sep2022-May2023_RCBD_Bell pepper/trt/T0_Control_0.0_Namdhari', 'Paper002/exp/Haridwar_Uttarakhand_Sep2022-May2023_RCBD_Bell pepper/trt/T1_Jaivik Prom_100.0_Namdhari', 'Paper002/exp/Haridwar_Uttarakhand_Sep2022-May2023_RCBD_Bell pepper/trt/T2_Pori Potash_100.0_Namdhari', 'Paper002/exp/Haridwar_Uttarakhand_Sep2022-May2023_RCBD_Bell pepper/trt/T3_Dharti ka Chaukidar_10.0_Namdhari', 'Paper002/exp/Haridwar_Uttarakhand_Sep2022-May2023_RCBD_Bell pepper/trt/T4_Jaivik Poshak_7.0_Namdhari']"
Observation_ID,str,66,0,0.0,"['OBS/e74596964e73', 'OBS/2523fc2b2569', 'OBS/dbd41118923d', 'OBS/cb144ef6cfdd', 'OBS/d185016c58f9']"
_replicates,int64,2,0,0.0,"[2, 1]"
Temp_Range,float64,2,0,0.0,"[20.0, 11.0]"
Temp_CV,float64,2,0,0.0,"[1.1764705882352942, 0.41509433962264153]"
Temp_Above_10,float64,2,0,0.0,"[7.0, 16.5]"
Temp_Above_15,float64,2,0,0.0,"[2.0, 11.5]"
Temp_Above_20,float64,2,0,0.0,"[0.0, 6.5]"
Temp_Above_25,float64,2,0,0.0,"[0.0, 1.5]"
Temp_Above_30,float64,1,0,0.0,[0.0]
Temp_Above_35,float64,1,0,0.0,[0.0]
Rainfall_log,float64,2,0,0.0,"[2.8622008809294686, 6.90875477931522]"
Rainfall_sqrt,float64,2,0,0.0,"[4.06201920231798, 31.622776601683793]"
Rainfall_squared,float64,2,0,0.0,"[272.25, 1000000.0]"
Rainfall_Bin,float64,2,0,0.0,"[0.0, 2.0]"
Rainfall_100_bin,float64,2,0,0.0,"[0.0, 1000.0]"
N_log,float64,7,0,0.0,"[5.017279836814924, 5.916202062607435, 6.018593214496234, 5.968707559985366, 5.8888779583328805]"
N_sqrt,float64,7,0,0.0,"[12.24744871391589, 19.235384061671343, 20.248456731316587, 19.748417658131498, 18.973665961010276]"
N_squared,float64,7,0,0.0,"[22500.0, 136900.0, 168100.0, 152100.0, 129600.0]"
N_category,float64,2,0,0.0,"[0.0, 4.0]"
P_log,float64,7,0,0.0,"[3.1986731175506815, 1.791759469228055, 3.1354942159291497, 3.1780538303479458, 2.3978952727983707]"
P_squared,float64,7,0,0.0,"[552.25, 25.0, 484.0, 529.0, 100.0]"
P_category,float64,3,0,0.0,"[4.0, 0.0, 1.0]"
K_log,float64,1,0,0.0,[5.303304908059076]
K_squared,float64,1,0,0.0,[40000.0]
K_category,float64,1,0,0.0,[2.0]
NPK_sum,float64,9,0,0.0,"[373.5, 575.0, 632.0, 613.0, 595.0]"
NPK_ratio_N,float64,9,0,0.0,"[0.40160642570281124, 0.6434782608695652, 0.6487341772151899, 0.636215334420881, 0.6554621848739496]"
NPK_ratio_P,float64,9,0,0.0,"[0.06291834002677377, 0.008695652173913044, 0.03481012658227848, 0.037520391517128875, 0.008403361344537815]"
NPK_ratio_K,float64,9,0,0.0,"[0.535475234270415, 0.34782608695652173, 0.31645569620253167, 0.3262642740619902, 0.33613445378151263]"
N_x_K,float64,7,0,0.0,"[30000.0, 74000.0, 82000.0, 78000.0, 72000.0]"
P_x_K,float64,7,0,0.0,"[4700.0, 1000.0, 4400.0, 4600.0, 2000.0]"
N_plus_P,float64,9,0,0.0,"[173.5, 375.0, 432.0, 413.0, 395.0]"
N_plus_K,float64,7,0,0.0,"[350.0, 570.0, 610.0, 590.0, 560.0]"
P_plus_K,float64,7,0,0.0,"[223.5, 205.0, 222.0, 223.0, 210.0]"
Soil_pH_squared,float64,7,0,0.0,"[45.5625, 51.84, 49.0, 46.239999999999995, 43.559999999999995]"
Soil_pH_neutral,float64,6,0,0.0,"[0.25, 0.20000000000000018, 0.0, 0.40000000000000036, 0.7999999999999998]"
Soil_pH_acidic,int64,2,0,0.0,"[0, 1]"
Soil_pH_alkaline,int64,1,0,0.0,[0]
OC_log,float64,5,0,0.0,"[0.6931471805599453, 0.22314355131420976, 0.262364264467491, 0.4382549309311553, 0.3001045924503381]"
OC_squared,float64,5,0,0.0,"[1.0, 0.0625, 0.09, 0.30250000000000005, 0.12249999999999998]"
C_N_ratio,float64,9,0,0.0,"[0.006666666666666667, 0.0006756756756756757, 0.0007317073170731707, 0.0014102564102564104, 0.0007692307692307692]"
N_P_ratio,float64,9,0,0.0,"[6.382978723404255, 74.0, 18.636363636363637, 16.956521739130434, 78.0]"
P_K_ratio,float64,7,0,0.0,"[0.1175, 0.025, 0.11, 0.115, 0.05]"
Biomass_log,float64,16,38,57.58,"[2.1216625571137984, 2.475949991745108, 2.525808641108426, 2.6744934175733674, 2.5593181473018105]"
Biomass_sqrt,float64,16,38,57.58,"[2.7101660465735304, 3.3004545141540733, 3.3913124303136684, 3.6749149650025914, 3.453548899320813]"
Biomass_squared,float64,16,38,57.58,"[53.949025, 118.65744900000001, 132.273001, 182.38502499999998, 142.25332899999998]"
Humidity_squared,float64,2,0,0.0,"[4225.0, 3600.0]"
Humidity_log,float64,2,0,0.0,"[4.189654742026425, 4.110873864173311]"
Height_log,float64,3,63,95.45,"[2.8920370372152258, 3.1210424645194377, 3.2272407411998283]"
Height_sqrt,float64,3,63,95.45,"[4.12674205639267, 4.655104724922953, 4.920365840057018]"
Height_squared,float64,3,63,95.45,"[290.02090000000004, 469.5889000000001, 586.1241]"
SPAD_log,float64,8,46,69.7,"[3.8477831063652315, 3.88727939153723, 3.9794760252852104, 3.930079010227717, 3.9867222313283466]"
SPAD_squared,float64,8,46,69.7,"[2105.800321, 2282.737284, 2755.095121, 2491.1079210000003, 2796.082884]"
SPAD_category,float64,2,46,69.7,"[2.0, 3.0]"
Height_x_LeafArea,float64,3,63,95.45,"[1007.6651, 3744.5760000000005, 3648.4469999999997]"
Height_x_ShootBiomass,float64,0,66,100.0,[]
Temperature_Max_7d_MA,float64,8,0,0.0,"[27.0, 27.714285714285715, 28.428571428571427, 29.142857142857142, 29.857142857142858]"
Temperature_Min_7d_MA,float64,8,0,0.0,"[7.0, 9.0, 11.0, 13.0, 15.0]"
Average_Temperature_7d_MA,float64,1,0,0.0,[26.5]
Temp_x_N,float64,7,0,0.0,"[3975.0, 9805.0, 10865.0, 10335.0, 9540.0]"
Rainfall_x_N,float64,8,0,0.0,"[2475.0, 150000.0, 370000.0, 410000.0, 390000.0]"
Rainfall_x_P,float64,8,0,0.0,"[387.75, 23500.0, 5000.0, 22000.0, 23000.0]"
Rainfall_x_K,float64,2,0,0.0,"[3300.0, 200000.0]"
OC_x_pH,float64,9,0,0.0,"[6.75, 1.8, 2.1, 3.74, 1.9799999999999998]"
EC_x_pH,float64,0,66,100.0,[]
Plant_Height_cm_log,float64,3,63,95.45,"[2.8920370372152258, 3.1210424645194377, 3.2272407411998283]"
Shoot_Biomass_g_log,float64,16,38,57.58,"[1.9843063465647972, 2.3555569777601515, 2.424094510391243, 2.5426250919679854, 2.4325601694157912]"
Root_Biomass_g_log,float64,16,38,57.58,"[0.7280315824134471, 0.8539897056767757, 0.7925399244379802, 1.026758184900126, 0.9317703027225414]"
Leaf_Area_cm2_log,float64,19,35,53.03,"[3.746676552840153, 3.888201513302144, 3.926852502874144, 3.9988060230124183, 4.018542848805819]"
Fruit_Weight_log,float64,8,58,87.88,"[3.6247141966381498, 4.161255267504727, 4.165982820474895, 4.034948352265444, 3.932648823221802]"
100_Seed_Weight_log,float64,10,46,69.7,"[1.6154199841116479, 1.7595805708638197, 1.6714733033535532, 1.7119945007591924, 1.6563214983329508]"
EC_log,float64,0,66,100.0,[]
EC_squared,float64,0,66,100.0,[]
EC_category,float64,0,66,100.0,[]
Rainfall_x_pH,float64,8,0,0.0,"[111.375, 6750.0, 7200.0, 7000.0, 6800.0]"
Rainfall_x_OC,float64,6,0,0.0,"[16.5, 1000.0, 250.0, 300.0, 550.0]"
N_x_pH,float64,9,0,0.0,"[1012.5, 2664.0, 2870.0, 2652.0, 2574.0]"
P_x_pH,float64,9,0,0.0,"[158.625, 36.0, 154.0, 156.4, 33.0]"
K_x_pH,float64,7,0,0.0,"[1350.0, 1440.0, 1400.0, 1360.0, 1320.0]"
Height_x_N,float64,3,63,95.45,"[6301.1, 8451.300000000001, 9684.0]"
Height_x_Rainfall,float64,3,63,95.45,"[17030.0, 21670.0, 24210.0]"
Height_x_pH,float64,3,63,95.45,"[122.61600000000001, 143.022, 150.102]"
Tmax_x_N,float64,8,0,0.0,"[4050.0, 4800.0, 11840.0, 13120.0, 12480.0]"
Tmax_x_Rainfall,float64,2,0,0.0,"[445.5, 32000.0]"
Tmin_x_Rainfall,float64,2,0,0.0,"[115.5, 21000.0]"
Humidity_x_Rainfall,float64,2,0,0.0,"[1072.5, 60000.0]"
Humidity_x_N,float64,8,0,0.0,"[9750.0, 9000.0, 22200.0, 24600.0, 23400.0]"
EC_x_OC,float64,0,66,100.0,[]
N_x_OC,float64,9,0,0.0,"[150.0, 92.5, 123.0, 214.50000000000003, 117.0]"
